Page,Section,Element,Copy,File Location
About,Stats,Stat 4 Value,"12",src/app/about/page.tsx
About,Stats,Stat 4 Label,"Events Hosted",src/app/about/page.tsx
About,Mission,Headline,"Why We Do This",src/app/about/page.tsx
About,Mission,Paragraph 1,"Every week, we get messages from people who've been hurt by dating apps. People who've wasted years on bad matches. People who are ready to give up.",src/app/about/page.tsx
About,Mission,Paragraph 2,"We built AILO because everyone deserves to find someone who actually fits.",src/app/about/page.tsx
About,Community,Headline,"Our Community",src/app/about/page.tsx
About,Community,Subhead,"Real connections happen at our exclusive member events in South Florida.",src/app/about/page.tsx
About,CTA,Headline,"Ready to experience the difference?",src/app/about/page.tsx
About,CTA,Button,"See If You Qualify",src/app/about/page.tsx
Duo,Hero,Badge,"Try the Science — $29",src/app/duo/page.tsx
Duo,Hero,Headline,"Are You Actually Compatible?",src/app/duo/page.tsx
Duo,Hero,Subhead,"Test AILO's compatibility assessment with your partner, friend, or someone you're dating. See why the science works — before you invest in full membership.",src/app/duo/page.tsx
Duo,Hero,CTA,"Get AILO Duo",src/app/duo/page.tsx
Duo,What's Included,Headline,"What's Included",src/app/duo/page.tsx
Duo,What's Included,Feature 1 Title,"Two Assessments",src/app/duo/page.tsx
Duo,What's Included,Feature 1 Description,"Both of you complete AILO's compatibility assessment",src/app/duo/page.tsx
Duo,What's Included,Feature 2 Title,"Compatibility Report",src/app/duo/page.tsx
Duo,What's Included,Feature 2 Description,"See your compatibility score and detailed breakdown",src/app/duo/page.tsx
Duo,What's Included,Feature 3 Title,"Communication Insights",src/app/duo/page.tsx
Duo,What's Included,Feature 3 Description,"Learn how you naturally connect and where you might clash",src/app/duo/page.tsx
Duo,What's Included,Feature 4 Title,"Relationship Roadmap",src/app/duo/page.tsx
Duo,What's Included,Feature 4 Description,"Understand your strengths and growth areas as a couple",src/app/duo/page.tsx
Duo,Use Cases,Headline,"Perfect For Every Stage",src/app/duo/page.tsx
Duo,Use Cases,Subhead,"Whether you're just starting out or years into your relationship",src/app/duo/page.tsx
Duo,Use Cases,Case 1 Title,"New Relationships",src/app/duo/page.tsx
Duo,Use Cases,Case 1 Description,"Know if you're truly compatible before you invest more time",src/app/duo/page.tsx
Duo,Use Cases,Case 2 Title,"Serious Dating",src/app/duo/page.tsx
Duo,Use Cases,Case 2 Description,"Discover what makes your connection work — and what to watch for",src/app/duo/page.tsx
Duo,Use Cases,Case 3 Title,"Committed Couples",src/app/duo/page.tsx
Duo,Use Cases,Case 3 Description,"Deepen your understanding and strengthen your bond",src/app/duo/page.tsx
Duo,Use Cases,Case 4 Title,"Considering Marriage",src/app/duo/page.tsx
Duo,Use Cases,Case 4 Description,"Get clarity before making a lifetime commitment",src/app/duo/page.tsx
Duo,How It Works,Headline,"How It Works",src/app/duo/page.tsx
Duo,How It Works,Step 1 Title,"You Take the Assessment",src/app/duo/page.tsx
Duo,How It Works,Step 1 Description,"Complete AILO's compatibility assessment (7 minutes)",src/app/duo/page.tsx
Duo,How It Works,Step 2 Title,"Invite Your Partner",src/app/duo/page.tsx
Duo,How It Works,Step 2 Description,"Share a link with the person you want to compare with",src/app/duo/page.tsx
Duo,How It Works,Step 3 Title,"Get Your Report",src/app/duo/page.tsx
Duo,How It Works,Step 3 Description,"Once both complete, receive your detailed compatibility analysis",src/app/duo/page.tsx
Duo,Testimonial,Quote,"We'd been dating for 6 months and everything felt right, but I wanted to be sure. AILO Duo showed us exactly why we work — and the few things to watch for. Best decision we made.",src/app/duo/page.tsx
Duo,Testimonial,Attribution,"— Rachel & James, Together 2 Years",src/app/duo/page.tsx
Duo,CTA,Headline,"Ready to Test Your Compatibility?",src/app/duo/page.tsx
Duo,CTA,Price Line,"AILO Duo is just $29 — one-time, for both of you.",src/app/duo/page.tsx
Duo,CTA,Value Prop,"Two assessments. One compatibility report. Zero guesswork.",src/app/duo/page.tsx
Duo,CTA,Member Note,"Already an AILO member? Duo is included free with your membership.",src/app/duo/page.tsx
Blog,Hero,Headline,"Dating Insights",src/app/blog/page.tsx
Blog,Hero,Subhead,"Tips, research, and real talk about modern dating and compatibility.",src/app/blog/page.tsx
Blog,Newsletter,Headline,"Get Dating Insights Weekly",src/app/blog/page.tsx
Blog,Newsletter,Subhead,"Join 3,000+ readers getting science-backed dating advice every Friday.",src/app/blog/page.tsx
Blog,Newsletter,CTA,"Subscribe",src/app/blog/page.tsx
Blog,Newsletter,Disclaimer,"No spam. Unsubscribe anytime.",src/app/blog/page.tsx
Blog,CTA,Headline,"Ready to find your match?",src/app/blog/page.tsx
Blog,CTA,Button,"See If You Qualify",src/app/blog/page.tsx
